r	nr	nrp
0	1.0	2.6561398887587544e-05
1	100.0	0.0002951266543065283
2	4950.0	0.0016231965986859057
3	161700.0	0.005891602469304398
4	3921225.0	0.015874595542292404
5	75287520.0	0.03386580382355713
6	1192052400.0	0.05957872894885052
7	16007560800.0	0.08889524636812617
8	186087894300.0	0.11482302655882966
9	1902231808400.0	0.13041627707916453
10	17310309456440.0	0.13186534682448858
11	141629804643600.0	0.11987758802226234
12	1050421051106700.0	0.09878801235167915
13	7110542499799200.0	0.07430209476023732
14	4.418694267732361e+16	0.051303827334449596
15	2.533384713499886e+17	0.03268243815379751
16	1.3458606290468147e+18	0.019291716965783256
17	6.650134872937201e+18	0.010591530883175118
18	3.066451080298821e+19	0.005426525082120586
19	1.323415729392123e+20	0.0026021933142332644
20	5.359833704038096e+20	0.0011709869914049685
21	2.0418414110621313e+21	0.0004956558693777645
22	7.332066885177655e+21	0.00019776168525678482
23	2.4865270306254652e+22	7.451889589386094e-05
24	7.977607556590037e+22	2.6564606406607846e-05
25	2.4251926972033712e+23	8.972933719565316e-06
26	6.995748165009721e+23	2.875940294732472e-06
27	1.9173532007804428e+24	8.758007481901357e-07
28	4.998813702034725e+24	2.5370418499158694e-07
29	1.2410847811948284e+25	6.998736137698951e-08
30	2.937233982161094e+25	1.8404083917652794e-08
31	6.632463830686342e+25	4.617512094034752e-09
32	1.430125013491742e+26	1.1062789391958258e-09
33	2.9469242702254086e+26	2.532894540919736e-10
34	5.807174297208892e+26	5.5458802039745855e-11
35	1.0950671531879625e+27	1.1619939474994369e-11
36	1.9772045821449332e+27	2.3311606971439335e-12
37	3.4200295474939365e+27	4.4803088473637137e-13
38	5.670048986634686e+27	8.253200508301581e-14
39	9.013924030034629e+27	1.457830289215664e-14
40	1.3746234145802806e+28	2.4702124345043184e-15
41	2.0116440213369955e+28	4.0166055845598666e-16
42	2.825880887116256e+28	6.26930501293736e-17
43	3.811653289598673e+28	9.395857642128349e-18
44	4.937823579707371e+28	1.3524340545487769e-18
45	6.1448471214136155e+28	1.8700322729563333e-19
46	7.347099819081498e+28	2.4843423916086557e-20
47	8.441348728306404e+28	3.1715009254578595e-21
48	9.320655887504986e+28	3.890961783547837e-22
49	9.891308288780802e+28	4.587982148401078e-23
50	1.0089134454556415e+29	5.199713101521219e-24
51	9.891308288780802e+28	5.664175491853182e-25
52	9.320655887504986e+28	5.930440151726623e-26
53	8.441348728306404e+28	5.967738517460753e-27
54	7.347099819081498e+28	5.771269759684266e-28
55	6.1448471214136155e+28	5.363200180716691e-29
56	4.937823579707371e+28	4.7885715899256186e-30
57	3.811653289598673e+28	4.10715691923445e-31
58	2.825880887116256e+28	3.3832901825111353e-32
59	2.0116440213369955e+28	2.6760487319297106e-33
60	1.3746234145802806e+28	2.0318147779466328e-34
61	9.013924030034629e+27	1.4803750658991864e-35
62	5.670048986634686e+27	1.0346707449833027e-36
63	3.4200295474939365e+27	6.934301289129714e-38
64	1.9772045821449332e+27	4.454325480864576e-39
65	1.0950671531879625e+27	2.7411233728397376e-40
66	5.807174297208892e+26	1.6151400345015293e-41
67	2.9469242702254086e+26	9.106925567670317e-43
68	1.430125013491742e+26	4.910597119822228e-44
69	6.632463830686342e+25	2.530420416011455e-45
70	2.937233982161094e+25	1.2451275062913506e-46
71	1.2410847811948284e+25	5.845669043621365e-48
72	4.998813702034725e+24	2.6161173189046236e-49
73	1.9173532007804428e+24	1.1149358436732034e-50
74	6.995748165009721e+23	4.520010177053526e-52
75	2.4251926972033712e+23	1.741040957087285e-53
76	7.977607556590037e+22	6.363453790523702e-55
77	2.4865270306254652e+22	2.2037935205276887e-56
78	7.332066885177655e+21	7.220406121387014e-58
79	2.0418414110621313e+21	2.234162231652803e-59
80	5.359833704038096e+20	6.516306508987344e-61
81	1.323415729392123e+20	1.7877384112448142e-62
82	3.066451080298821e+19	4.602578565535427e-64
83	6.650134872937201e+18	1.1090550760326332e-65
84	1.3458606290468147e+18	2.4939069170045982e-67
85	2.533384713499886e+17	5.216014466937722e-69
86	4.418694267732361e+16	1.010855516848396e-70
87	7110542499799200.0	1.8074045001120746e-72
88	1050421051106700.0	2.9666993057395167e-74
89	141629804643600.0	4.44449334193186e-76
90	17310309456440.0	6.03573169891981e-78
91	1902231808400.0	7.369635774016862e-80
92	186087894300.0	8.010473667409633e-82
93	16007560800.0	7.656366707201561e-84
94	1192052400.0	6.3350551950840336e-86
95	75287520.0	4.4456527684800244e-88
96	3921225.0	2.5727157225000136e-90
97	161700.0	1.1787930000000065e-92
98	4950.0	4.009500000000022e-95
99	100.0	9.000000000000049e-98
100	1.0	1.0000000000000056e-100
